referrer,views_total,views_unique
Google,23,10
chatgpt.com,11,7
github.com,8,7
l.instagram.com,2,1
perplexity.ai,2,1
digibot.leyton.com,1,1
m.facebook.com,1,1
timmalich.github.io,1,1
yandex.ru,1,1
