referrer,views_total,views_unique
Google,21,9
github.com,8,7
chatgpt.com,8,6
l.instagram.com,2,1
perplexity.ai,2,1
digibot.leyton.com,1,1
m.facebook.com,1,1
yandex.ru,1,1
