referrer,views_total,views_unique
Google,21,8
chatgpt.com,10,6
github.com,6,4
l.instagram.com,2,1
digibot.leyton.com,1,1
m.facebook.com,1,1
timmalich.github.io,1,1
yandex.ru,1,1
