time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-27 00:00:00+00:00,1,1,,
2025-07-28 00:00:00+00:00,1,1,4.0,4.0
2025-07-29 00:00:00+00:00,1,1,10.0,2.0
2025-07-30 00:00:00+00:00,3,3,13.0,3.0
2025-07-31 00:00:00+00:00,2,2,4.0,3.0
2025-08-01 00:00:00+00:00,2,2,12.0,4.0
2025-08-02 00:00:00+00:00,3,3,19.0,8.0
2025-08-03 00:00:00+00:00,1,1,1.0,1.0
2025-08-04 00:00:00+00:00,1,1,6.0,2.0
2025-08-05 00:00:00+00:00,3,3,,
2025-08-06 00:00:00+00:00,2,2,1.0,1.0
2025-08-07 00:00:00+00:00,1,1,7.0,4.0
2025-08-08 00:00:00+00:00,2,2,20.0,6.0
2025-08-09 00:00:00+00:00,1,1,7.0,5.0
